genre,total_streams,chart_appearances,avg_position,rank
moroccan pop,228259594.68993416,20179,92.07,493
thai indie rock,227766787.3166667,4136,98.58,494
pinoy r&b,226606170.4277778,2199,100.9,495
vallenato,225469153.78108075,12735,108.73,496
hk-pop,225151818.61666682,6006,76.42,497
virgin islands reggae,225114630.9657897,3117,68.91,498
urbano mexicano,224944099.10912696,636,94.59,499
baroque pop,223708026.76111114,2942,107.81,500
indie electropop,221297977.69930476,7483,87.56,501
manchester hip hop,218895054.44227675,1704,91.69,502
funk,216991003.38770604,5814,119.75,503
turkce slow sarkilar,214944476.56666666,726,115.72,504
hawaiian hip hop,212133635.0333332,738,121.0,505
rap tunisien,211077408.48253977,4006,93.68,506
new romantic,210406416.78024918,3402,96.67,507
new wave,209871352.02581194,3424,97.77,508
modern reggae,208466079.4351062,5987,99.57,509
alternative r&b,208153067.24630457,6612,115.58,510
iskelma,204964998.21720782,9042,102.53,511
pinoy trap,204891019.19444433,1621,104.43,512
alberta hip hop,204538458.8,503,102.82,513
indonesian lo-fi pop,204339421.3333333,542,86.98,514
motown,204141556.56363642,2313,146.32,515
cumbia chilena,203706599.34565213,1572,132.2,516
synthpop,202892157.2481535,3229,95.59,517
japanese alternative rock,202270605.90000018,1530,97.78,518
russian dance,200877134.83492056,8923,107.39,519
metal,200474695.20595202,2230,110.71,520
arabesk,200280813.01666674,1723,120.08,521
indie hip hop,199173339.2960317,482,114.37,522
mainland chinese pop,198201303.20714304,6530,104.53,523
indonesian hip hop,197530316.81684983,1736,104.67,524
sufi,196994629.69931448,2351,119.67,525
modern blues rock,195857920.101443,2636,143.96,526
funk viral,195196817.35476208,822,97.85,527
chicago bop,193372963.3262628,1858,89.97,528
uk drill,192865346.67842567,2104,105.55,529
pop peruano,191901615.66408956,6804,110.74,530
new french touch,190675500.00039676,4028,113.63,531
crunk,190221914.52396455,9453,85.35,532
candy pop,189673965.43795985,10109,91.61,533
tamil hip hop,188999653.93461552,825,95.55,534
portuguese pop,188052775.3988098,7378,104.92,535
nordic house,187732074.3988096,5870,104.64,536
acoustic pop,186954540.78699622,6460,150.65,537
gambian hip hop,186946630.16666666,437,89.1,538
mexican indie,186835624.87499976,1967,130.08,539
argentine indie,186565352.1559523,2366,118.7,540
dreamo,186515455.55000028,1640,116.44,541
colombian hip hop,185631136.866884,6354,97.96,542
musica canaria,184971938.0333331,1679,82.6,543
norwegian hip hop,184522334.69101727,3227,99.67,544
classic uk pop,184236127.74801582,1843,94.06,545
german r&b,183495095.13690478,998,104.68,546
hare krishna,182340678.83463207,1183,89.3,547
rap maroc,182043363.09238794,15572,91.43,548
covertronica,180086360.71852863,3431,96.05,549
chinese viral pop,179568366.83333325,3234,103.62,550
nz reggae,178993926.70000005,4663,95.8,551
hindi hip hop,178230460.714835,1621,97.91,552
rap mineiro,176966903.01274294,618,110.53,553
vocal house,175837663.27336144,6648,99.85,554
polish electronica,175666866.1416667,2200,95.8,555
indonesian folk,172440777.4833333,2085,112.99,556
melbourne bounce,172141358.11435294,7102,87.87,557
acoustic opm,170632239.83333343,817,90.19,558
thai hip hop,169991822.1750001,3885,81.48,559
vietnamese hip hop,169950863.92857158,6785,94.13,560
gqom,169672116.5959382,998,106.32,561
a cappella,168557140.54999983,779,147.61,562
pop flamenco,168523852.38913321,2628,119.51,563
nu metal,164730781.22499982,6378,144.4,564
polish alternative,164635549.63333318,2065,107.29,565
high vibe,164436044.48374945,413,116.17,566
rumba,164382245.0837221,1937,120.66,567
texas country,161609331.90526548,3870,101.76,568
balochi pop,161522915.0,151,44.3,569
trap tuga,161206323.8499998,4600,93.43,570
birmingham grime,159708708.88571438,3444,112.33,571
rap metal,159031973.15555543,5821,144.71,572
taiwan singer-songwriter,158914417.77142847,8397,102.1,573
narco rap,158704859.11607146,966,144.17,574
ukg revival,158436628.88983506,1290,94.06,575
nederreggae,156610663.20833328,1714,101.52,576
indie surf,156541384.577381,2052,117.23,577
korean r&b,156463507.9230161,3206,113.05,578
salsa,156345923.97040278,12137,121.87,579
trap venezolano,156007854.63318825,3632,96.88,580
arabic hip hop,155011811.23726514,10271,94.33,581
russian drain,154830182.73333347,3602,88.46,582
afrofuturismo brasileiro,154716177.17879218,1068,109.27,583
britpop,154661234.86785722,4649,161.96,584
turkish deep house,154557918.83315024,2156,99.22,585
brazilian rock,154323125.62365413,1534,132.81,586
vancouver indie,154023238.6666667,519,124.42,587
rap calme,153608146.9309523,1957,123.55,588
uk dancehall,152626804.03385955,3861,97.31,589
drill italiana,152395793.7410534,1070,109.27,590
desi trap,152339507.15660986,1940,98.54,591
classic girl group,151044861.01190528,787,90.14,592
german singer-songwriter,151001572.26666665,1108,108.48,593
hip house,150503583.65696257,4198,82.85,594
post-grunge,150439890.23055536,5729,144.06,595
pacific islands pop,149925359.68095216,4748,101.58,596
