genre,total_streams,chart_appearances,avg_position,rank
political hip hop,1934838.255827505,91,117.32,1791
otacore,1923479.0833333335,80,126.78,1792
jalsat,1912373.8333333335,149,111.17,1793
nz singer-songwriter,1895841.483333333,149,124.77,1794
drikkelek,1863481.3333333335,68,126.63,1795
classic azeri pop,1862955.0000000002,16,185.0,1796
malian blues,1859730.0595238095,56,108.46,1797
wassoulou,1859730.0595238095,56,108.46,1798
drama,1852365.6666666667,3,130.67,1799
australian singer-songwriter,1852130.5833333335,52,148.46,1800
austrian hip hop,1847787.8333333335,29,135.52,1801
arkansas country,1847201.0,35,141.09,1802
classic thai pop,1827152.6666666667,82,75.27,1803
vintage swedish pop,1821039.8833333335,26,109.62,1804
new delhi indie,1820971.1833333333,16,105.25,1805
latvian indie,1810256.7500000012,719,119.96,1806
copla,1809211.3333333335,14,107.57,1807
electrofox,1794601.571428571,78,116.97,1808
hyperpop en espanol,1791304.5,29,128.1,1809
chinese jazz,1782042.0833333333,171,143.01,1810
sesotho pop,1778078.3999999997,30,69.2,1811
sesotho hip hop,1778078.3999999997,30,69.2,1812
symfonicky orchestr,1768933.5,8,147.25,1813
pinoy city pop,1758164.9999999998,11,157.82,1814
modern blues,1754626.4222222222,37,200.16,1815
hardstyle,1742649.1830065362,53,94.53,1816
jumpstyle,1740610.8888888892,51,91.25,1817
afro drill,1733099.8750000002,42,83.71,1818
kurdish pop,1729811.3333333335,37,97.3,1819
afrikaans hip hop,1723244.8011904762,114,116.86,1820
viet remix,1721338.333333333,112,154.29,1821
riddim,1709785.3030303027,98,119.76,1822
psychokore,1702325.6666666665,46,113.07,1823
swedish metal,1697381.663888889,79,138.54,1824
deep minimal techno,1689006.2000000002,28,72.54,1825
lo-fi beats,1676680.583333333,28,123.11,1826
hong kong tv drama,1668942.0000000005,116,91.6,1827
muzica crestina,1664533.7999999998,37,176.68,1828
speed up brasileiro,1657887.0,2,127.5,1829
musica nicaraguense,1655619.7272727268,424,155.65,1830
balkan beats,1615063.6190476187,180,168.09,1831
sevdah,1608428.333333333,54,126.54,1832
freeform hardcore,1603519.7333333334,32,83.22,1833
finnish post-punk,1601674.0,39,105.72,1834
psychedelic trance,1598511.3333333333,44,134.27,1835
barnalog,1589712.8333333337,330,105.69,1836
hypnosis mic,1589522.0,19,132.89,1837
ska chileno,1587599.628985508,74,160.61,1838
firenze indie,1587554.2142857143,10,144.9,1839
classic hungarian pop,1586855.0999999996,170,135.16,1840
french shoegaze,1584454.1999999983,266,110.12,1841
tunisian pop,1584018.8460317457,472,105.42,1842
swedish power metal,1583861.4,66,131.44,1843
men chika,1582562.0,9,174.78,1844
rai algerien,1576756.8571428568,373,130.27,1845
indonesian emo rap,1571109.2619047617,41,98.0,1846
classic nz pop,1563886.8999999997,116,115.37,1847
kawaii future bass,1562987.80075188,17,128.71,1848
grenada soca,1561152.75,57,147.74,1849
porro,1558784.6654135336,56,144.32,1850
oslo indie,1555651.0666666664,27,90.81,1851
chinese idol pop,1554133.35,63,139.21,1852
german hyperpop,1552344.4047619049,7,142.29,1853
guadalajara indie,1527468.9642857143,33,181.45,1854
norrbotten indie,1505524.3333333335,28,144.75,1855
bornesange,1495507.0,19,165.58,1856
musica andina chilena,1485646.494064872,64,161.19,1857
indy indie,1482825.285714285,92,103.4,1858
drill dominicano,1452576.003318904,140,106.41,1859
sgija,1449163.65,54,76.11,1860
berlin minimal techno,1446176.25,12,152.83,1861
dong-yo,1443691.0000000005,41,162.9,1862
dark synthpop,1440533.0,141,125.24,1863
kenyan drill,1440077.0999999999,52,91.0,1864
deep acoustic pop,1432976.090909091,24,100.79,1865
folclor colombiano,1432463.0507575758,86,126.53,1866
compositional ambient,1432274.496428571,275,165.56,1867
pop romantico,1430576.9485772357,26,138.31,1868
speed up turkce,1427351.0,3,124.0,1869
south african deep house,1419137.7333333332,78,85.99,1870
middle east hip hop,1418381.166666666,214,130.66,1871
surinamese hip hop,1417332.5833333333,16,108.31,1872
nordic folk,1411850.9999999998,13,70.23,1873
merengue,1408981.5807200929,271,123.28,1874
cuatro venezolano,1397808.4999999993,281,181.77,1875
cruise,1394664.5083333333,69,103.01,1876
russian trap metal,1379179.6666666667,84,87.58,1877
york indie,1378495.761904762,610,157.06,1878
volksmusik,1373754.0,15,129.53,1879
chanson humoristique,1357977.75,16,118.88,1880
belgian techno,1356952.333333333,126,116.58,1881
chinese minyao,1354254.0595238095,137,135.59,1882
bulgarian r&b,1348055.6666666665,229,89.86,1883
mexican classic rock,1347386.6628787874,303,120.86,1884
anti-folk,1339901.0227272727,107,172.75,1885
seattle indie,1322272.7785714287,15,132.47,1886
canadian folk,1317196.059090909,222,143.81,1887
belgian dnb,1309263.3333333333,30,89.93,1888
musica andina,1308872.5273982056,59,167.34,1889
ukrainian edm,1283238.7833333337,129,105.44,1890
magyar retro dance,1276661.7500000002,162,100.5,1891
uplifting trance,1269928.9338994334,162,131.44,1892
desert blues,1247416.490079365,43,133.65,1893
chopped and screwed,1245079.2105263153,32,139.09,1894
rock alternativo espanol,1244057.4375,30,133.07,1895
rap liegeois,1219794.0,14,176.07,1896
pink noise,1205396.25,152,127.57,1897
tin pan alley,1205084.4999999998,20,91.35,1898
baglama,1193987.0000000002,35,112.74,1899
palestinian hip hop,1191023.6666666667,197,128.18,1900
japanese disney,1186626.0,14,137.86,1901
musica nortena chilena,1178965.9956521739,51,168.75,1902
classic venezuelan pop,1178318.1166666665,148,123.53,1903
slow game,1169888.9166666665,52,110.46,1904
chillhop,1169519.35,21,111.86,1905
gaita zuliana,1157399.9166666663,145,123.2,1906
musica costarricense,1154871.525,137,127.9,1907
cello,1145819.276984127,66,106.05,1908
trap peruano,1145023.1,16,149.19,1909
guatemalan pop,1120025.1540293035,492,171.09,1910
melodic metal,1116839.5833333335,51,145.45,1911
nashville sound,1114393.0952380956,76,162.63,1912
washington indie,1107324.6666666667,15,198.67,1913
vietnamese pop,1105815.8666666667,96,125.99,1914
finnish power metal,1105263.464285714,79,122.51,1915
lao pop,1086620.5,24,134.46,1916
indie extremena,1077160.0,16,150.19,1917
finnish choir,1072777.5857142857,31,54.97,1918
rap regio,1070485.8333333335,9,127.78,1919
yugoslav rock,1063753.0,18,141.67,1920
brazilian percussion,1060611.1398046396,17,123.0,1921
rap guarulhense,1055477.5,17,156.82,1922
indonesian indie rock,1052165.75,50,159.38,1923
anthem worship,1046136.3333333334,150,140.07,1924
musica tradicional cubana,1041731.1402439025,13,61.54,1925
son cubano,1039072.75,7,77.14,1926
tribal house,1033444.7499999998,56,83.8,1927
romanian electronic,1029633.4999999999,134,105.81,1928
welsh hip hop,1023820.9999999999,15,104.93,1929
rock keyboard,1019380.642857143,335,168.63,1930
florida drill,1018978.8696581197,21,134.81,1931
kyushu indie,1013056.8,10,155.5,1932
uk christian rap,1011100.1666666665,29,124.62,1933
french soundtrack,1009285.3333333336,224,156.01,1934
rock chapin,1005636.9642857146,457,174.77,1935
plug brasileiro,1001863.2142857143,9,131.89,1936
boston rock,1001745.6666666667,68,145.54,1937
pony,1000100.7999999997,41,119.73,1938
yogyakarta indie,997790.0,3,185.0,1939
indonesian punk,997790.0,3,185.0,1940
malayalam pop,993233.5,6,169.0,1941
big beat,993066.9095238093,213,135.22,1942
kleine hoerspiel,992232.5,5,175.4,1943
greek indie,992158.5095238095,89,110.51,1944
baltic post-punk,978059.2333333334,319,129.74,1945
dutch blues,972253.625,46,108.22,1946
streektaal,972253.625,46,108.22,1947
ambient house,959199.0,26,163.12,1948
doo-wop,954921.334920635,57,138.79,1949
spanish modern rock,953552.5416666669,43,164.49,1950
naija worship,949557.407142857,43,135.37,1951
uk post-punk,946850.2329670329,47,180.7,1952
frenchcore,942899.9,11,123.0,1953
classic danish rock,925971.5,32,109.88,1954
argentine punk,923439.6666666667,95,181.86,1955
brazilian power metal,913701.0,186,145.83,1956
experimental hip hop,905698.5147435899,25,140.76,1957
musica para criancas,903313.5714285714,13,108.0,1958
nashville indie,902824.5499999998,270,180.51,1959
german country,898709.2142857143,54,135.39,1960
xtra raw,898604.4,10,118.5,1961
rap tico,890893.0000000001,39,62.79,1962
lapland hip hop,886420.15,97,146.14,1963
dresden indie,870489.3333333334,5,124.8,1964
kora,869264.125,26,114.96,1965
finnish electro,859751.1166666667,54,129.43,1966
kabyle,857805.75,109,140.23,1967
kaseko,850846.6000000002,22,95.95,1968
terrorcore,844042.0,30,109.17,1969
colombian indie,838414.5,12,164.67,1970
campursari,836361.0000000001,21,152.33,1971
nz folk,831540.7142857143,29,95.0,1972
koledy,830280.3333333334,7,144.43,1973
new age,827883.0,22,148.73,1974
liquid funk,826837.0714285714,43,99.56,1975
dutch musical,823435.0,12,123.58,1976
indie jazz,819165.9272727274,30,147.43,1977
cleveland indie,816215.5,15,130.33,1978
sludgecore,813006.0000000001,4,99.75,1979
czech alternative rap,809595.25,34,68.03,1980
venda pop,807543.4666666669,88,121.47,1981
portuguese indie,806036.1666666666,95,134.93,1982
uk garage,799063.6659090909,64,98.53,1983
cyber metal,797914.6666666669,40,129.75,1984
mega funk,797326.0,1,198.0,1985
jazz fusion,796154.9383838383,56,146.27,1986
parody,795925.6666666665,39,145.38,1987
rautalanka,790182.6666666667,17,118.41,1988
french movie tunes,785886.0,28,162.61,1989
indie tico,785462.2857142858,42,150.62,1990
nueva ola chilena,782137.8333333334,4,111.5,1991
rebel blues,761996.0833333333,44,153.95,1992
auckland indie,759937.7011904762,244,123.95,1993
lagu iban,757414.25,54,134.11,1994
puerto rican rock,757211.8114452802,518,143.39,1995
estonian indie,751497.5999999999,304,110.39,1996
pinoy edm,751158.0000000001,12,139.67,1997
dutch tech house,750714.6666666667,12,106.83,1998
phonk brasileiro,748220.0,37,152.08,1999
yemeni pop,745629.75,96,113.42,2000
garage house,743176.5,36,75.47,2001
ambient worship,740153.0,8,146.13,2002
groove metal,735967.0,38,155.24,2003
rap underground mexicano,735122.0000000001,6,137.33,2004
ambient,729315.7833333333,9,214.0,2005
deep disco house,728312.6714285715,29,95.62,2006
paraguayan indie,723843.666666667,62,134.48,2007
australian underground hip hop,723205.5011904762,29,166.97,2008
bc underground hip hop,719576.6666666667,36,120.56,2009
czsk hyperpop,717469.5666666665,84,117.37,2010
rhythm and blues,716570.7777777778,27,122.3,2011
greek swing,714633.1666666669,74,111.64,2012
ambient folk,714265.4999999999,13,187.77,2013
old school dancehall,714044.2275751209,120,111.78,2014
cypriot hip hop,713336.833333333,158,102.77,2015
indie folk italiano,713081.5,6,135.5,2016
puirt-a-beul,711818.9666666668,16,131.88,2017
classic city pop,710321.25,11,169.18,2018
australian children's music,704012.0,3,80.67,2019
musica paraibana,702337.5,4,167.5,2020
polish synthpop,702321.8666666667,9,142.11,2021
german indie rock,701991.7999999999,58,48.91,2022
jump up,697431.0454545454,151,93.19,2023
munich indie,691530.7999999999,55,41.27,2024
microhouse,688700.0857142857,35,153.11,2025
progressive trance,685506.3267565767,140,135.09,2026
leicester indie,683097.7142857144,16,140.81,2027
alternative roots rock,676056.0,7,139.71,2028
buffalo hip hop,675888.6666666666,8,97.63,2029
taiwanese indigenous,671374.1666666666,53,121.43,2030
south african rock,669660.0666666665,138,185.13,2031
zambian hip hop,667544.35,7,100.14,2032
telugu hip hop,664846.75,6,143.83,2033
italian lounge,661094.1904761905,28,159.64,2034
norwegian alternative rock,660357.7142857143,16,52.94,2035
rogaland indie,660357.7142857143,16,52.94,2036
dark cabaret,660357.7142857143,16,52.94,2037
norwegian gospel,659825.0,7,126.71,2038
alabama indie,659384.6,29,183.52,2039
czech singer-songwriter,646868.6666666667,161,113.37,2040
k-rock,642594.0833333334,82,133.46,2041
keroncong,641195.5,36,109.31,2042
quebec indie,639635.0238095237,128,94.59,2043
school choir,637249.6666666667,9,111.56,2044
visor,636943.0,18,133.06,2045
dansk comedy,636848.9,15,115.07,2046
venezuelan rock,636642.125,81,132.05,2047
portuguese folk,635364.3333333334,14,164.21,2048
iraqi hip hop,635346.5,43,45.0,2049
gothic symphonic metal,630519.5188311689,45,130.24,2050
arab electronic,630288.9999999999,34,91.35,2051
doujin,626365.3333333334,27,146.41,2052
breakbeat,622098.4333333335,109,157.71,2053
rave,622098.4333333335,109,157.71,2054
czech folk rock,620689.6499999999,146,113.42,2055
shibuya-kei,620085.7857142859,41,147.34,2056
italian post-hardcore,616564.25,10,158.7,2057
cumbia salvadorena,615226.7666666667,90,136.7,2058
rock alternativo brasileiro,611250.9166666667,38,185.63,2059
sleaze rock,610210.7833333334,43,125.37,2060
irish country,608864.3653846154,14,132.43,2061
christchurch indie,608425.0,20,119.45,2062
industrial pop,604134.6571428572,26,149.08,2063
philly drill,604050.75,7,178.43,2064
musica mocambicana,602577.0,81,105.1,2065
sovietwave,602048.3333333331,117,147.15,2066
hard rock brasileiro,594824.6,31,175.32,2067
idol game,591649.0,5,154.0,2068
synth funk,590187.75,27,160.48,2069
gypsy punk,588874.9999999999,46,99.17,2070
musica sarda,584729.0,9,129.78,2071
ska,575621.8000000002,8,154.0,2072
morna,572376.9166666667,27,113.33,2073
idol kayo,570904.25,15,154.2,2074
finnish hard rock,569045.65,45,120.84,2075
japanese underground rap,568687.3333333334,11,141.0,2076
indie napoletano,565988.0,1,85.0,2077
punjabi lo-fi,561630.0,9,40.11,2078
icelandic jazz,558412.2999999999,168,117.42,2079
concepcion indie,555371.8,35,187.66,2080
abstract beats,552796.714285715,428,156.43,2081
nashville hip hop,550023.0,1,199.0,2082
polish blues,548412.75,13,135.15,2083
portuguese indie rock,547912.0000000002,74,125.26,2084
musica etnica,542259.0,1,89.0,2085
reggae maghreb,542069.0166666668,100,96.56,2086
ontario indie,537120.4666666667,18,147.5,2087
kingston on indie,536480.7999999999,17,141.76,2088
psychedelic soul,535037.75,42,192.19,2089
screamocore,533707.0,3,117.67,2090
plugg francais,527287.5,4,138.25,2091
vogue,522295.9603174603,22,118.36,2092
swedish melodic rock,521816.1666666667,8,126.63,2093
vincy soca,521438.45454545453,18,124.72,2094
proto-hyperpop,520777.8095238095,30,158.5,2095
disney italiano,515710.0,2,175.0,2096
progressive thrash,512019.3666666667,46,103.7,2097
finnish progressive metal,512019.3666666667,46,103.7,2098
vinahouse,511938.66666666657,41,161.37,2099
tipico,510345.1,72,155.15,2100
gothic metal,507394.0604978357,57,125.07,2101
indian electronic,504092.1428571429,52,53.98,2102
hengelliset laulut,498753.0,10,147.4,2103
maskandi,497576.00000000006,16,55.44,2104
bitpop,497132.8380952381,28,178.64,2105
finnish folk,496632.9166666666,16,81.06,2106
warrington indie,494093.5,5,146.4,2107
dutch classical piano,492145.0,10,119.7,2108
entehno,490286.826190476,190,140.86,2109
microtonal,487302.5714285714,205,79.95,2110
arab folk,487302.5714285714,205,79.95,2111
palestinian pop,484205.6333333333,86,110.47,2112
disney suomi,482333.75,26,118.81,2113
punk 'n' roll,482166.0,23,146.35,2114
viet edm,481775.9999999999,36,155.78,2115
classic house,480836.3055555555,52,146.73,2116
korean city pop,475801.4952380953,41,130.66,2117
french psychedelic,474785.25,8,163.5,2118
nasyid,473103.65,32,108.13,2119
rap toscana,471307.5,3,79.67,2120
8d,468619.0,2,158.0,2121
jersey club,465854.1111111111,43,117.3,2122
ukrainian folk pop,465539.99999999994,36,83.17,2123
reggae cristao,463961.0,1,194.0,2124
pop folk,463033.93939393945,7,145.29,2125
strut,460387.13333333336,19,152.95,2126
polynesian hip hop,456841.4499999999,51,61.88,2127
alt-idol,456693.0,1,61.0,2128
norwegian contemporary jazz,454234.69047619053,12,117.42,2129
glee club,453666.0000000001,39,154.51,2130
latin christian,447915.30476190476,71,161.68,2131
latin worship,445284.4714285714,69,157.03,2132
pop catracho,442071.28279220784,137,131.91,2133
stoner metal,441334.7777777777,20,153.15,2134
beat italiano,440466.0,12,80.33,2135
neue deutsche welle,438686.2428571429,16,122.5,2136
indie dream pop,435326.1444444445,19,171.47,2137
college a cappella,432631.7023809523,88,169.82,2138
russian minecraft,430588.0,10,150.2,2139
jazz,418024.66060606064,26,146.31,2140
chinese soundtrack,416770.0,7,98.71,2141
folclor afrocolombiano,416420.80982190336,50,153.0,2142
dutch disney,413783.0,4,179.5,2143
deconstructed club,412552.6047619048,16,113.31,2144
muzica etno,408459.0,25,112.12,2145
classic k-pop,407463.0,30,140.0,2146
italian ska,406103.5,3,111.0,2147
xhosa hip hop,402701.6666666666,22,102.64,2148
violin,400461.5683982682,75,135.25,2149
hopebeat,398510.91540404054,70,157.37,2150
kalmar indie,394538.0,4,157.0,2151
electric bass,394495.6,24,146.25,2152
melodic death metal,394217.7222222223,53,148.42,2153
post-disco,392381.1666666667,12,168.08,2154
dancehall colombiano,391107.0,39,119.74,2155
svensk progg,390124.6,13,147.38,2156
trondheim indie,385112.3333333333,22,99.23,2157
chinese new year,382595.0,6,133.33,2158
mbalax,379544.0972222223,17,159.53,2159
rap paraguayo,379264.8333333332,54,150.8,2160
umbanda,379243.9047619048,2,175.0,2161
malaysian punk,377557.6666666667,33,151.52,2162
musique peule,377393.2222222223,16,161.69,2163
griot,377393.2222222223,16,161.69,2164
bongo flava,373203.13571428566,15,163.13,2165
australian garage punk,371089.0,14,144.21,2166
ska jazz,367302.29999999993,32,156.38,2167
finlandssvenska musik,366283.3333333334,16,168.44,2168
icelandic classical,364555.375,79,87.89,2169
ambeat,360581.5333333333,19,176.79,2170
classic bhangra,360559.80952380947,16,96.0,2171
russian witch house,354839.95238095237,17,107.47,2172
rap ecuatoriano,354119.16666666657,16,154.88,2173
macedonian hip hop,354105.511904762,155,100.03,2174
south african underground rap,353975.49999999994,10,73.6,2175
swedish punk,353897.50000000006,10,153.6,2176
polish punk,353599.0,18,24.28,2177
musica aragonesa,351675.83749999997,64,182.92,2178
tanzanian pop,350957.85,10,164.8,2179
latin viral rap,348877.1666666666,5,163.0,2180
bard,348042.66666666657,26,56.85,2181
icelandic punk,344674.75,90,95.02,2182
luk thung,344185.0,27,114.52,2183
igbo pop,343982.9825396826,72,128.99,2184
korean electropop,343136.07857142854,34,125.82,2185
beach music,341462.77777777775,14,135.36,2186
south african gospel,339973.27380952385,27,118.63,2187
thai instrumental,339830.0,8,44.88,2188
diva house,338979.83787878783,18,179.06,2189
swedish blues,338819.39999999997,9,118.56,2190
hawaiian,337928.888888889,15,167.53,2191
bounce,336579.1111111111,47,160.43,2192
swedish choir,334718.0,2,169.0,2193
musica gaucha,334454.1666666667,4,148.0,2194
pokemon,329888.5,9,170.33,2195
vintage chanson,328621.0,2,115.5,2196
dominican indie,326046.5,71,156.75,2197
hokkien pop,325674.75,18,85.5,2198
djecje pjesme,325265.0,17,109.94,2199
salsa international,325206.35,16,163.25,2200
norwegian choir,324547.9666666667,10,161.2,2201
collage pop,324535.5625,90,38.82,2202
belarusian rock,323736.19999999995,20,166.5,2203
zouglou,320797.59999999986,31,63.97,2204
finnish blues,319426.5,20,163.6,2205
marrabenta,319121.0,51,90.02,2206
witch house,317395.95238095237,14,101.14,2207
icelandic post-punk,314564.5833333333,74,87.16,2208
finnish new wave,309901.80000000005,26,179.69,2209
canadian metal,309564.8111111111,17,157.29,2210
slovak electronic,309146.25,39,104.38,2211
korean dream pop,308635.4166666666,46,147.48,2212
philly indie,308118.3571428571,20,163.65,2213
german soundtrack,307692.1547619048,66,118.08,2214
manitoba country,307676.0,1,192.0,2215
finnish melodeath,306659.125,43,142.23,2216
latvian rock,306350.8,69,112.93,2217
reggae peruano,302757.38095238095,11,165.91,2218
ghettotech,302368.5454545454,20,151.5,2219
zespol dzieciecy,301041.0,2,94.0,2220
norwegian americana,299993.75,10,153.2,2221
spirituals,299372.45721925126,31,141.35,2222
chamber psych,297247.7291666666,89,39.63,2223
finnish jazz,297058.5,5,117.6,2224
hyperpop italiano,297043.6,3,129.0,2225
palestinian traditional,295260.29999999993,75,109.84,2226
african rock,292497.50000000006,53,162.15,2227
muzica moldoveneasca,292036.3333333334,19,82.16,2228
nz gangsta rap,291828.19999999995,27,89.37,2229
polca paraguaya,290646.3333333333,37,174.65,2230
san marcos tx indie,289545.76666666666,31,163.94,2231
futuristic swag,288329.0,4,191.75,2232
burkinabe pop,288290.625,28,150.07,2233
deep soft rock,287496.4285714286,3,150.33,2234
chinese audiophile,286994.86666666664,86,155.84,2235
antiviral pop,286667.0833333333,58,157.55,2236
chinese indie rock,283108.99999999994,47,112.0,2237
twee pop,283108.99999999994,47,112.0,2238
grave wave,282417.02669552667,75,170.23,2239
japanese garage rock,281937.80952380947,14,155.36,2240
finnish death metal,280697.4583333333,40,139.9,2241
armenian folk,280532.3333333333,13,84.54,2242
peruvian indie,280435.71428571426,30,155.4,2243
cape town indie,279777.41785714286,61,115.67,2244
vocal trance,277738.85597735597,20,143.15,2245
russian alternative rock,268797.2,18,168.22,2246
chillstep,267795.573015873,45,126.29,2247
south dakota indie,267418.5,60,115.7,2248
brazilian ccm,266431.0,6,188.5,2249
italian jazz fusion,261900.6666666667,7,164.29,2250
neapolitan funk,261900.6666666667,7,164.29,2251
german tech house,261251.60000000003,13,104.77,2252
nova musica carioca,260410.40000000002,2,164.0,2253
dabke,258624.46666666656,77,113.18,2254
slowed and reverb,257417.5,17,148.76,2255
muzika l'yeladim,257198.0,7,123.0,2256
symphonic metal,256509.5188311688,27,106.0,2257
timba,256249.5,7,188.29,2258
opera metal,255935.06428571424,26,100.65,2259
post-punk,255860.732967033,13,118.54,2260
new wave of glam metal,255669.25,22,99.27,2261
indian underground rap,253598.25,7,169.86,2262
palestinian alternative,253223.7999999999,74,110.08,2263
rap gabonais,252767.5,3,164.0,2264
gabonese pop,252767.5,3,164.0,2265
indie cristao,251204.0,2,155.5,2266
electric blues,250322.14808802307,126,232.96,2267
deep uplifting trance,249942.85,5,183.0,2268
latvian folk,248959.3,68,103.13,2269
australian comedy,248642.0,20,191.4,2270
vintage french electronic,248226.99999999997,4,133.5,2271
kwaito,248201.8261904762,41,116.27,2272
swedish rock-and-roll,248028.25,4,94.0,2273
indie rock peruano,246343.0,27,152.26,2274
abstract hip hop,245727.6730769231,9,190.89,2275
blues,243357.0980880231,122,232.06,2276
traditional blues,242785.8980880231,121,231.96,2277
bouncy house,240277.00000000003,20,132.5,2278
trap angolano,239866.25,13,111.85,2279
australian techno,239779.0,5,156.8,2280
czsk electropop,238830.25,13,129.54,2281
sorani pop,237016.83333333334,4,166.5,2282
indie catala,235678.1333333333,7,183.29,2283
honeyworks,234310.75,3,126.67,2284
azeri pop,234221.0,7,145.86,2285
rock independant francais,234121.19999999998,35,167.09,2286
hiplife,233660.46190476188,17,132.18,2287
thrash core,233386.0,3,159.33,2288
chinese talent show,233250.5,3,72.67,2289
kompa gouyad,232688.0,2,123.5,2290
british orchestra,232484.06666666668,6,155.33,2291
nz electronic,231334.66666666663,29,85.97,2292
ukrainian alternative rock,230800.83333333334,24,110.79,2293
nwobhm,228446.25,29,148.1,2294
classical performance,227937.67936507938,23,162.52,2295
mod revival,227928.8,3,187.33,2296
hardwave,227125.0,11,109.0,2297
j-metal,226290.475,21,145.48,2298
luxembourgian hip hop,223997.0,120,129.06,2299
trap beats,222107.5833333333,8,149.13,2300
bali indie,221631.0,14,104.64,2301
french jazz,221475.86666666667,12,174.5,2302
classical bass,220552.36363636373,56,127.93,2303
kannada hip hop,220430.0,4,140.0,2304
nopixel,217686.5,10,218.1,2305
lullaby,217467.0,5,6.0,2306
vintage norwegian pop,217463.5,4,109.75,2307
japanese shoegaze,217227.2,6,157.0,2308
kuduro,215496.33333333334,15,140.13,2309
luxembourgian pop,215279.0,117,128.26,2310
kaneka,214822.3333333334,16,161.19,2311
latin funk,214185.68612836444,22,165.41,2312
classical piano,213568.9714285714,16,126.31,2313
classic dubstep,212678.88970588235,53,161.32,2314
classic latvian pop,212498.3,52,134.44,2315
austindie,212439.4444444444,24,148.71,2316
rap francais nouvelle vague,211702.8,5,128.6,2317
lustrum,211699.0,1,138.0,2318
musica para ninos,210255.39393939395,4,149.0,2319
turkish classical performance,210242.57142857142,15,119.67,2320
lao hip hop,210204.5,11,126.55,2321
writing,208664.4,3,99.33,2322
cedm,208094.81818181818,12,139.25,2323
bubble trance,206863.0,16,123.69,2324
baltic folk,206807.94999999998,101,112.67,2325
bomba,206573.0,1,148.0,2326
neue volksmusik,206378.2,9,145.11,2327
eventyr,206152.19999999998,13,150.77,2328
polish indie rock,203436.0,24,115.04,2329
classic anime,200417.66666666666,8,154.25,2330
deep big room,200355.09999999995,28,122.21,2331
cuatro puertorriqueno,194455.80000000002,18,133.39,2332
minneapolis sound,193677.5,20,156.3,2333
electronica venezuela,192833.0,7,92.43,2334
neo-manele,192727.0,6,93.17,2335
commons,191916.0,3,183.0,2336
narodna muzika,191696.0,112,101.92,2337
christian afrobeat,191623.16666666663,22,158.64,2338
mexican electronic,191620.0,1,72.0,2339
swedish hard rock,190337.56666666665,16,166.81,2340
rap anime,189706.16666666666,4,166.25,2341
swedish synth,188587.91666666666,7,165.29,2342
freak folk,188498.72727272726,1,113.0,2343
new weird america,188498.72727272726,1,113.0,2344
c86,188007.0,1,150.0,2345
dancehall chileno,187770.75,4,126.25,2346
mluvene slovo,187647.0,8,109.88,2347
intelligent dance music,186865.325,22,159.18,2348
classic peruvian pop,184015.5476190476,12,161.75,2349
hip hop cubano,182496.23333333334,21,163.71,2350
zikir,181640.5,15,140.27,2351
italian jazz,181636.33333333334,18,185.28,2352
electronic rock,181587.9,6,185.67,2353
nordic folk metal,180473.0,2,129.0,2354
supergroup,179349.99999999997,22,163.86,2355
sefardi,178407.66666666666,17,132.29,2356
irish rebel song,178369.0,4,107.5,2357
sega mauricien,177234.5,2,153.5,2358
nightrun,177112.0,13,167.23,2359
musica popular uruguaya,177105.25,48,155.83,2360
hard trance,176890.25,6,93.67,2361
italian new wave,176277.0,1,187.0,2362
scorecore,176007.6,53,131.4,2363
rock nica,172439.0,118,102.65,2364
musica llanera,171976.5257575758,31,146.42,2365
gospel r&b,170787.72549019608,2,122.5,2366
world fusion,169313.56666666668,22,123.27,2367
indie emo,167385.25,13,155.46,2368
lebanese indie,165925.0,20,111.1,2369
beninese pop,165651.8333333333,3,108.0,2370
bozlak,165057.0,9,183.56,2371
rock gospel brasileiro,165055.0,1,200.0,2372
libyan hip hop,164771.5,28,20.64,2373
christian hip hop,163749.8,63,156.86,2374
preschool children's music,163417.0,45,19.89,2375
gyerekdalok,163381.5,8,123.13,2376
lds youth,163033.8333333333,125,179.9,2377
choral,162756.2365079365,9,134.33,2378
scream rap,162231.70000000004,39,132.51,2379
flemish folk,159260.41666666666,33,118.79,2380
athens indie,158882.40000000002,19,214.74,2381
spacesynth,158797.83333333334,14,131.0,2382
prog quebec,158527.5,1,179.0,2383
chanson quebecois,158527.5,1,179.0,2384
wonky,157131.423015873,74,159.92,2385
super eurobeat,156471.125,27,108.48,2386
progressive doom,155676.625,25,145.44,2387
black punk,153377.5,11,123.27,2388
uk diy punk,153377.5,11,123.27,2389
big band,153118.98214285713,63,123.78,2390
industrial hip hop,151936.9230769231,2,142.5,2391
pakistani rock,151726.19999999998,35,112.69,2392
futurepop,150881.33333333334,30,142.4,2393
christmas instrumental,150727.95833333334,20,143.25,2394
rock catala,149255.8,6,181.0,2395
mestissatge,149255.8,6,181.0,2396
venda rap,148888.5,19,143.84,2397
merengue tipico,148806.6857142857,38,139.92,2398
cante flamenco,148085.66666666666,7,101.0,2399
musique guadeloupe,147578.95,17,135.88,2400
rap feminino chileno,147370.5909090909,10,166.8,2401
vintage broadway,145805.33333333334,6,202.5,2402
chamber orchestra,145139.37142857144,12,171.83,2403
panamanian rock,143880.20833333334,45,139.89,2404
japanese power metal,143109.4166666667,9,178.33,2405
deep soul house,142846.0,5,29.2,2406
rajasthani pop,142478.6,5,109.6,2407
